id,question,singletips,fourtips,answer
47,有時候當我們在背東西時，若突然有人打擾，就會忘記先前所背的內容?這是因為我們的所背的內容無法進入認知歷程的哪一個部分?,一句提示：訊息經過複誦後進入腦中，被長時間保留。,四個選項：長期記憶、短期記憶、工作記憶、感官記憶,長期記憶
48,"某屆學長姐曾經拍攝一部微電影來解說ＡDDIE的意涵以及生活上的應用,這部片是以一個宅男運用了ADDIE追到心儀女生為故事主軸，並以ＡDDIE作為故事的每個轉折點，請問這部影片的設計非常有創意的運用了何種認知心理學的概念? ",一句提示：個人經驗過並記得的事件。在此記憶中影像是最重要的。,四個選項：語意記憶、情節記憶、程序性記憶、工作記憶,情節記憶
49,「餓得話，每日熬一鷹」是八國聯軍八國「俄德法美日奧義英」的諧音，請問這是運用諧音幫助哪一種記憶的形成？,一句提示：將知識內容以語言或文字的方式記憶，而非用故事劇情的方式,四個選項：語意記憶、情節記憶、程序性記憶、閃光燈記憶,語意記憶
50,安安學會騎機車後，有好長一段時間都沒有騎，直到有一天媽媽說要安安載他去市場，安安不用幾分鐘的時間就已經習慣怎麼騎了。請問騎機車的技能，是以何種記憶的方式存在?,一句提示：使人記得如何操作某一事情，尤其是身體動作上的作業。,四個選項：語意記憶、感官記憶、程序性記憶、閃光燈記憶,程序性記憶
51,吳老師在上課時，帶領大家進行考驗記憶力的遊戲，在活動過程中，「同學須在限定時間從一連串的資訊中，找出排序原則，並進行資訊的重組」。請問在上述「」的活動是在示範哪一種心理學概念?,一句提示：利用一小塊一小塊的訊息，組織成一個大群組。,四個選項：意元集組(Chunking)、雙碼理論、情節記憶、語意記憶,Chunking
52,最近小星開始在背唐詩，媽媽為了幫助小星記憶，便買一系列的唐詩DVD，讓小星可以藉由影像幫助記憶唐詩的內容。後來小星只要背唐詩時，都會想起此首唐詩的影像及聲音。請問上述媽媽是使用何種理論幫助小星背唐詩? ,一句提示：同時用兩種方式儲存訊息，會比只用一種方式來的更容易。,四個選項：意元集組(Chunking)、雙碼理論、情節記憶、語意記憶,雙馬理論
53,老師教學生注音，先教了有ㄣ韻的字，再教ㄥ韻的字，因為兩者太相似，學生學了ㄥ而忘記ㄣ韻有哪些字，就認知心理學而言這些學生在學習上產生了何種現象？,一句提示：新訊息與原有訊息類似時，舊訊息與新訊息產生混淆，以致先前的訊息遺失。,四個選項：順攝抑制、順攝助長、倒攝抑制、倒攝助長,倒攝抑制
54,阿燮和小源是兩位到日本留學的大學生，阿燮在台灣有駕照，小源沒有任何開車經驗，由於他們打算在日本租車出遊，兩人便相約報名日本的駕訓班，教練在上課時說:「日本開車是右駕左行，台灣開車則是左駕右行，請同學多多注意。」在學習的過程中，阿燮比小源學習的慢，請問是什麼原因導致阿燮和小源之間的學習速度？,一句提示：在學習新事物時被過去的經驗所干擾,四個選項：順攝抑制、順攝助長、倒攝抑制、倒攝助長,順攝抑制
55,老師則是詳細講解「正增強」定義和舉例說明後，才講解「負增強」的定義，同學們也能正確地判斷出正負增強之間的差異，更加深了對「負增強」理論的理解。請問上述是何種教育心理學概念的應用？,一句提示：先前的訊息有助於了解後來學習的訊息。,四個選項：順攝抑制、順攝助長、倒攝抑制、倒攝助長,順攝助長
56,阿方在學習背單字時發現最先背起來的那幾個字會記得比較好，而在中間背的單字總是會比較容易忘記。請問可以用認知心理學的何種概念來解釋？,一句提示：最先學到的比中間學到的記得更好。,四個選項：初始效應、新近效應、順攝助長、順攝抑制,初始效應
57,小鍾在學習開車時，從一開始需要一邊背誦一邊回憶步驟啟動車子，在路上開車時轉彎時要先打方向燈等等，到現在只要開車便自然而然熟悉整個開車時的流程及注意事項，即使不需要特別思考，也能做出正確的反應。上述情形可以用哪一個心理學概念來解釋?,一句提示：快速和容易的程度必須高到該作業或技能，只需花費很少或完全不需花費心力就能執行。,四個選項：自動化、保留、再生、編碼,自動化
58,小芊在背誦英文時總是毫不遲疑地看到什麼就背什麼，因此在學校的英文成績非常優秀；可是他在外商公司打工時跟外國人溝通卻常常遭遇瓶頸。請問這個現象可以用哪些認知心理學的概念解釋？,一句提示：對事實或連結的的背誦，指記憶訊息本身，卻未了解它的意思；應該要能運用到廣泛的情境，但是卻只能運用在有限的範圍之中。,四個選項：機械式學習、意義學習、替代學習、惰性知識,機械式學習
59,吳老師上教育心理學時，除了講解理論同時也會講解生活或是工作上的應用。因此上過吳老師教育心理學的同學總是能將教育心理學的知識遷移到其他環境中。請問可以用哪些認知心理學的概念解釋這些同學的學習情形?,一句提示：這個概念強調學習內容本身要對學習者有強烈的意義性，能讓學習者學有所用,四個選項：機械式學習、意義學習、替代學習、惰性知識,Meaningful Learning
60,勤勤在每次教育心理學下課後，就會開始將老師上課所教的內容進行分類，並彙整成一本小筆記，請問勤勤運用的是何種認知策略?,一句提示：這種學習策略強的的是學習者將所學的內容進行彙整、排序、歸納。,四個選項：組織策略、摘要策略、精緻化策略、心智圖策略,組織策略
61,杰倫非常擅長作詞作曲，因此他總會把他所學的歷史知識包裝成一首首的流行歌曲，請問杰倫是使用何種認知策略來幫助學習呢？,一句提示：這種學習策略強調的是學習者在內話所學的知識後能後彙整成自己的話語表達出來,四個選項：組織策略、摘要策略、精緻化策略、心智圖策略,精緻化策略
62,小名參加跑步比賽，很想得到冠軍獎盃，因此每天放留下來練習跑步，請問小明所抱持的動機屬於哪一種類型?,一句提示：由於外在的獎勵誘因，或是為了避罰服從，因此形成動力推到人去完成目標,無,外在動機
63,小明從小對音樂有天分，但最近為了一個音樂比賽每天練習數個小時，最後贏得比賽。小明認為能贏得比賽都是因為他自己的努力。請問小明的歸因方式是屬於內在或外在歸因、可控或不可控歸因、穩定或不穩定歸因?(三個答案),三句提示：A.將成功的原因歸功於自己的努力、能力；B.這類的歸因主要說的是人可以自己掌握的因素；C.這種歸因強調的是隨時都有機會改變的事物,無,"內在歸因
可控歸因
不穩定歸因"
64,運動員阿發每天都會吃健康保健食品保養身體，以致於每次上場比賽他都能發揮全力。阿發認為，這都是他平常有努力保養的功勞。請問阿發的歸因方式是屬於內在或外在歸因、可控或不可控歸因、穩定或不穩定歸因?(三個答案),三句提示：A.將成功的原因歸功於自己的努力、能力；B.這類的歸因主要說的是人可以自己掌握的因素；C.這種歸因強調的是隨時都有機會改變的事物,無,"內在歸因
可控歸因
不穩定歸因
"
65,阿魯每次考試不及格都會怪罪老師考卷出太難，請問阿魯的歸因方式是屬於內在或外在歸因、可控或不可控歸因、穩定或不穩定歸因?(三個答案),三句提示：A.這類歸因主要說的是將事情的成功或失敗怪罪在自己以外的事物上；B.這類的歸因主要說的是人不可以自己掌握的因素；C.這種歸因強調的是不會輕易隨時間改變的事物。,無,"外在歸因
不可控歸因
穩定歸因"
66,小名經過多日練習，在期中考試仍然對題目兩個選項產生猶豫，但在最後還是答對了，並在公布成績時得到第一名，小名認為這都依靠他的聰明才智才有的成就，請問小名的歸因方式是屬於穩定還是不穩定歸因？,三句提示：A.將成功的原因歸功於自己的努力、能力；B.這類的歸因主要說的是人不可以自己掌握的因素；C.這種歸因強調的是不會輕易隨時間改變的事物。,無,"內在歸因
不可控歸因
穩定歸因"
67,沈佳宜在考大學聯考時生理痛，導致他的考試成績不如預期。沈佳宜認為自己會考不好都是因為生理痛。請問沈佳宜的歸因方式屬於穩定歸因還是不穩定歸因。,三句提示：A.將成功的原因歸功於自己的努力、能力；B.這類的歸因主要說的是人可以自己掌握的因素；C.這種歸因強調的是隨時都有機會改變的事物,無,"內在歸因
可控歸因
不穩定歸因
"
68,謝安真的老公外遇之後他感到非常自責，她告訴自己「不能消滅狐狸精的女人不是好女人，不能保護老公的人妻不是好人妻。」請問謝安真對自己說的話屬於哪種歸因。,三句提示：A.將成功的原因歸功於自己的努力、能力；B.這類的歸因主要說的是人可以自己掌握的因素；C.這種歸因強調的是隨時都有機會改變的事物,無,"內在歸因
可控歸因
不穩定歸因"
69,大智和小智相差一歲。媽媽買了一瓶果汁，並把它平均倒入兩杯容量一樣但外型不一樣的杯子，媽媽把瘦長型的杯子給大智，小智則是拿到矮胖型的杯子，此時小智抗議說，為什麼大智拿到的比較多，但此時大智卻說我們拿到的份量是一樣的。請問大智可能正處於認知發展中的哪一個階段呢? ,一句提示：看東西時，能把脈絡中其他意義的事物考慮進去，在熟悉的事物之中，能形成概念、瞭解關係、解決問題。,四個選項：感覺動作期、前運思期、具體運思期、形式運思期,具體運思期
70,小花從小閱讀推理小說，每次只要能推理情境中找到答案就會覺得自己真是太厲害了，更讓小花覺得自己應該是推理天才。請問可以用行為主義中的哪種增強物概念來解釋小花的自信?,一句提示：這種增強物通常是無形的，讓學習者內心感到滿足，藉此希望學習者保持良好的行為。,四個選項：原級增強物、代幣增強物、次級增強物、內在增強物,內在增強物
71,小黑手中拿著一個紅色呼啦圈，發現太小了，他又去找了一個藍色呼啦圈，卻發現比紅色的還要小，所以他又再去找了一個比紅色呼拉看大的黃色呼拉圈，此時小黑突然領悟到，黃色呼拉圈不只比紅色呼拉圈大，同時也比藍色呼拉圈大，請問皮亞傑學者會以何種概念來解釋小黑領悟的內容？,一句提示：行為的特點是能利用兩物分別與第三物的關係，來推論兩物的關係。,四個選項：專注現象、遞移能力、守恆概念、可/不可逆性,遞移能力
72,小寶看到桌上有一顆綠色的西瓜，但當媽媽把切好的西瓜端上桌，小寶則認為西瓜不見了。請問小寶可能正處於兒童認知發展的哪一個階段?,一句提示：這時候的小孩是藉由感覺及動作技能來探索世界，上述的情境主要敘述的是物體恆存的概念，是這個時期重要的里程碑之一,四個選項：感覺動作期、前運思期、具體運思期、形式運思期,感覺動作期
73,在電影《兒子的大玩偶》中爸爸在兒子小時候穿著小丑裝陪他玩耍，但當爸爸脫下小丑裝後兒子卻不認得他，以為爸爸不見了。請問，此種情況在皮亞傑的認知發展階段論中是哪一個階段？,一句提示：這時候的小孩是藉由感覺及動作技能來探索世界，上述的情境主要敘述的是物體恆存的概念，是這個時期重要的里程碑之一,四個選項：感覺動作期、前運思期、具體運思期、形式運思期,感覺動作期
74,老師告訴小明：「台灣冬天因為吹東北季風，所以經常會下雨」，老師傳達給小明的內容是屬於資訊亦或是知識呢?,一句提示：冬天吹東北季風，以及東北季風會夾帶水氣導致降雨率上升，這是經過科學研究考證的,無,知識
75,金城武是個instargram上都美食文的學生。吳老師為了鼓勵金城武認真學習教育心理學，只要金城武在小考中考一百分就請金城武【吃大餐】。請問【】部分是屬於何種原級還是次級增強物?,一句提示：吃大餐非滿足基本需求，藉此希望學習者可以保持良好的行為,四個選項：原級增強物、次級增強物、代幣增強物、內在增強物,次級增強物
76,媽媽在教姊姊做家常菜時，【都會先示範一次步驟給姐姐看，再要求姊姊依樣畫葫蘆做出相同一道家常菜】，姊姊經由不斷的練習，最後終於做出和媽媽相同的家常菜。請問【】的地方是指姊姊處於模仿的哪一個階段?,一句提示：模仿的過程中，需要不斷練習模仿的行為。,四個選項：注意、保留、再生、動機,保留
77,領隊在帶領旅行團時一開始會喊：「注意。」引起團員們的注意。時間久了，當他喊注意時都會拍手兩下。【現在當他拍手兩下時，所有的團員都會注意他】。請問【】部分可以用行為主義的何種概念解釋？,一句提示：並非先天本能的行為，而是透過後天的刺激反應所培訓出的行為。,四個選項：古典制約、操作制約、正增強、負增強,古典制約
